source,target
女衬衫,名词棉 长 按钮 女人 材料 躯干 丝绸 身体 休闲 封面 颜色 工作 时尚 女性 裙子 袖子 顶部 短 衬衫 类型 很好 对象 软 
吹,魔术 雪茄 气泡 嘴里 呼气 烟 风 空气 龙 
脂肪,组织 动物 哭 谈话 鲸鱼 身体 肥胖 称重 吃 脂肪 
蓝色,天空 男孩 感觉 平静 颜色 阴影 海洋 水 眼 悲伤 酷 主要 
蓝莓,水果 果酱 口味 好 小 甜 浆果 污点 原料 成长 蓝色 派 吃 一轮 果汁 布什 
蓝鸟,唱歌 羽毛 动物 巢 铺设 小 翼 蓝色 飞 鸡蛋 鸟 喙 生成 漂亮 
布鲁斯,音乐 美国 类型 悲伤 体裁 
虚张声势,说谎 自信 勇敢 谈话 假装 勇气 虚假 把戏 假 p 
钝,乏味 锋利 边缘 沉闷 钻孔 灰色 直 点 人 
模糊,阴霾 请参阅 涂片 绒毛 清除 
脸红,出售 红色 尴尬 脸 脸颊 
董事会,潜水 棕色 件 硬 建设 构造 东西 写 木材 董事会 海盗 长 平 房子 树 船 生成 
船,打开 费用 钢贸易 蒸汽 帆船 携带 金属 平滑 水 转向 货物 举行 邮轮 结构 底部 人 旅行 军事 马达 小 木材 鱼 平 运输 形状 船长 移动 美容 站立 人类 海洋 甲板 船湖 人造 浮法 顶部 大小 类型 名词 通道 风帆 对象 噪音 船员 巨大 接收器 大 
身体,考试 检查 人类 医生 身体 皮肤 触摸 部分 器官 头发 人 
沼泽,地区 沼泽 土地 洪水 泥 湿地 气味 湿 水 植物 
烧开,汤 蒸汽 钱 更改 液体 厨房炉子 时间 蛋 行动 锅 烧伤 杀死 库克 饥饿 热 胚芽 治愈 搅拌 食品 
煮沸,水 热 煮 鸡蛋 泡沫 
大胆,自信 坚强 敢 勇敢 采取 风险 勇气 危险 恐惧 
博洛尼亚,意大利 口味 肉 类型 午餐 城市 香肠 三明治 
螺栓,金属 锁 硬件 举行 快速 线程 光 小 钢 运行 东西 螺母 螺钉 在一起 安全 门 闪电 建设 由 大小 
炸弹,致命 法律 能源 疼痛 片 黑色 愤怒 军事 休息 平面 尴尬 伤害 烟 时间 恐怖 拖放 生成 行动 杀死 飞机 战斗 人类 人造死了 设备 电源 攻击 坏 爆炸 战争 意图 核 大声窗口 吓坏了 废墟 谋杀 消防 沉船 暴力 对象 噪音 
轰击,破坏 目标 继续 惊喜 恐惧 沉重 力 军事 不同 简要 拖放 行动 战斗 罢工 攻击 坏 武器 战争 意图 突然 方法 周围 访问 过多 粗鲁 
束缚,法 领带 性 奴隶 向上 
骨,组织 身体 部分 骨骼 钙 
骨头,哑巴 愚蠢 智能 白痴 头 忽略 人 
本书,费用 沟通 学习 长 悲伤 艺术 写 孔 对象薄 读取 广场 小 需要角度 好 人类 兴奋 故事 它 学校 页面 结束 表达 数量 开始 厚 图片 知道 大小 搁置 神秘 获取 享受 
书包,沉重 本书 携带 学校 袋 举行 背包 
书柜,组织 墙 货架 本书 家具 金属 木材 高 举行 房子 存储 图书馆 大 
引导,脚 鞋类 鞋 穿 封面 皮革 
展位,表 站立 小 地方 餐厅 电话 
靴子,棕色 牛仔 短 冬季 脚 脚跟 雨 鞋底 对 长 温暖 花边 磨损 皮革 橡胶 保护 布 黑色 
酒,发酵 方 酒精 葡萄 醉酒 红色 饮料 许多 啤酒 果汁 人 
边界,边界 限制 边缘 跨 国家 设置 线 除法 
钻孔,娱乐 激发 兴趣 钻 孔 
无聊,什么都没有 懒惰 乐趣 沉闷 轮胎 兴趣 利息 行动 
借用,轮到 钱 同意 偏爱 拥有 持续时间 简短 行动 给定 好 人类 采取 自己 需要 布 短 朋友 返回 股票 获取 有 对象 问二 汽车 临时 
老板,管理 手表 员工 目标 举行 头 警卫队 保护 收费 足球 人 
麻烦,讨厌 兄弟 问题 佩斯特 兄弟姐妹 原因 惩罚 家庭 坏 错误 
瓶,打开 金属 饮料 塑料 举行 液体 瓶 确保 透明 休息 密封 小 新鲜 一轮 关闭 玻璃 包含 酒 东西 软木 回收 盖 脖子 扭曲 啤酒 绿色 
底部,顶部 对接 下面 低 部分 结束 
肉汤,汤 肉 股票 鸡 多维数据集 
弹跳,移动 飞扁球 反射 来 人类 脚 返回 自愿 跳 继续 重复 向上 对象 儿童 橡胶 拖放 行动 
绑定,跳跃 一起 领带 飞跃 向上 
赏金,犯罪 钱 价格 奖励 支付 
花束,颜色 花 在 安排 气味 作为 不错 礼物 花瓶​​ 星期三 漂亮 
弓,狩猎 颜色 领带 字符串 功能区 当前 尊重 显示 武器 头发 女孩 弯曲 射击 箭头 
领结,颜色 大小 领带 红色 礼物 长 磨损 装饰 头发 
弓武器,狩猎 杀死 体育 曲线 拱 前 字符串 木 长 塑料 危险 武器 箭头 
肠,移动 肠 侧 消化 系统 食品 道 小 管 长 正文 部分 器官 大 胃 
碗,谷物 陶瓷 颜色 汤 曲线 东西 食品 勺子 吃 塑料 举行 一轮 液体 混合 厨房 
保龄球,敲门 扔 体育 车道 球 十 罢工 向下 滚动 针 游戏 
框,打开 侧 角 边缘 金属 举行 底部 六个 在 四物理 小 打孔 木材 目前 形状 包含 边界 棕色 移动 纸板 战斗 连接 三个 直 顶部 出 大小 盖 对象 存储 礼品 大 
拳击手,战斗 体育 手套 框 人 
拳击,两个 战斗 体育 手套 打孔 环 人 
男孩,男人 运动员 男 儿童 女孩 年轻 
男朋友,男孩 爱 最佳 朋友 伴侣 护理 男性 日期 相关 人 
胸罩,杯 电线 颜色 棉花 服装 乳房 大小 性别 表带 白 女人 材料 舒适 磨损 布 黑色 钩 
手镯,脚踝 出售 费用 银 不 手腕 金属 配件 购买 薄 磨损 一轮 存储 扣 礼品 珠宝首饰 黄金 
大括号,金属 支持 磨损 直 牙齿 
大脑,中心 正文 部分 头 控制 认为 
刹车,踏板 慢 车辆 向下 部分 停止 汽车 
分支机构,棕色 木材 长 部分 离开 树 
品牌,生产 公司 名称 自己 类型 标签 标记 
白兰地酒,酒 酒精 名称 类型 饮料 
臭小子,讨厌 坏 儿童 宠坏 行为 
勇敢,坚强 勇敢 大胆 勇气 害怕 英雄 恐惧 人 
面包,酵母 棕色 地壳 切片 食品 作为 营养 面包 面粉 吐司 黄油 小麦 烤 白 吃 软 三明治 
休息,损坏 破坏 弯头 弯曲 崩溃 拆分 件 物理 运行 使用 玻璃 行动 永久 某事 结束 意图 单独 快乐维修 废墟 残骸 部分 对象 
易碎,糖果 缓解 打破 弱 玻璃 脆弱 
早餐,一天 培根 餐 薄煎饼 鸡蛋 早上 
乳腺癌,胸部 乳腺 女人 牛奶 部分 女性 
呼吸,肺 吸气 嘴里 自愿 g 在 释放 爱 思想 消费 放松 正文需要 使用 空气 行动 鼻子 生活 人类 出现 过程 呼气 呼吸 心 
品种,生产 创造 多样 动物 很多 类型 选择 伴侣 不同 
微风,轻松 阵风 风 温柔 酷 空气 
微风道,打开 走廊 走道 连接 通道 风 户外 空气 生成 
砖,颜色 硬 红色 起伏 水泥 生成 房子 角度 粗糙 
新娘,美容 教堂 快乐 服饰 星期三 蛋糕 新郎 环 结婚 丈夫 白 女人 女佣 磨损 花卉 妻子 
桥,火车 土地 跨 人类 金属 在 小 水 连接 木 长 吊桥 混凝土 大 汽车 人 
旅,战斗 军事 陆军 单位 战争 集团 部队 人 
明亮,颜色 智能 光 太阳 盲 
辉煌,天才 智能 光明 知道 
带来,放置 一个 采取 携带 定位 运输 
猪鬃,僵硬 短 动物 画笔 头发 
英国,欧洲 茶 团结 英语 皇家 美国 国王 红色 国家 英国 标志 英格兰 女王 伦敦 口音 伟大 人 
大不列颠,知道 本书 名称 英国 百科全书 
宽,宽 窄 远 空间 长 脂肪 大 
西兰花,花园 汤 蒸汽 营养 吃 植物 酱汁 头 干 食品蔬菜 花卉 维生素 奶酪 自然 库克 深色 原料 浓 口味 生产 叶 像 很好 秸秆 离开 绿色 
破碎,件 打破 损坏 休息 分裂 破坏 许多 粉碎 使用 玻璃 
野马,马 野生 丹佛 巴克 动物 卡车 团队 汽车 大 足球 
溪,流 克里克 小 水 河 
扫帚,收集 女巫 刷毛 塑料表面 长 棒 材料 底部 附加 木材 扫 行动 棕色 移动 地板 地面 人类 壁橱 远 稻草 光滑 手 工具 顶部 清洁 灰尘 对象 画笔 清除 
哥哥,男孩 爱 朋友 旧 兄弟姐妹 家庭 姐姐 
兄弟,兄弟姐妹 家庭 男性 相关 父母 
棕色,污垢 颜色 暗 皮肤 巧克力 
浏览,搜索 通过互联网 查找 购物 
瘀伤,颜色 马克 血管 血液 伤害 皮肤 紫色 蓝色 黑色 
黑发,棕色 颜色 暗 女人 头发 黑色 
画笔,圆 中风 平滑 样式 长 举行 头 方形 人 牙齿 组织 形状软 木材 狗 纠缠 表面 美容 硬 摩擦 一天 梳子 东西 人类 重复 头发 单独 直 布 手 油漆 帮助 清洁金属 大小 动物 猪鬃 通过 返回 类型 画笔 
泡沫,肥皂 打击 光 水 一轮 泡沫 浮法 空气 液体 流行音乐 
巴克,投掷 男性 关闭 鹿 美元 
斗,东西 携带 金属 水 塑料 举行 一轮 手 
扣,皮带 金属 小 光泽 鞋 塑料 举行 系紧 
芽,花 朋友 成长 之前 植物 
预算,费用 计划 财务 金额 金钱 支出 
鹦鹉,唱歌 talk 颜色 羽毛 笼 种子 谈话 小 宠物 喙 吃 飞 鸟 大声 蓝色 绿色 
水牛城,狩猎 牛 棕色 大 野生 角 生活 印度运行 平原 美国 放牧 四 腿 吃 危险 头发 本机 人 
错误,说谎 学习 道德 爬网 飞 真实 小 相反 蠕变 腿 事故 很多 不良 昆虫 坏 测试 向上 答案 正确 错误 错 遗憾 
越野车,携带 推 金属 四 旧 车轮 事物 座位 婴儿 手 运输 拉 时尚 马 人 
号角,音乐 角 军事 仪器 播放 喇叭 声音 黄铜 
生成,形成 木工 一块 技能 材料 完成 意图理念 提高 木材 汗 创建 动词 生成 行动 人类 修复 纸 在一起 工作 房子 使 大 
生成器,构造 一个 工作 生成 人 
建筑,墙 屋顶 由 金属 窗口 木材 住宅 高 砖 房间 城市 工作 水泥 大 人 
公牛,牛 杀死 讨厌 鼻子 角 斗牛 动物 红色 环 危险 男性 哺乳动物 其 西班牙 大 人 
项目符号,快速 杀死 项目 金属 小 作为 消防 伤害 火药 铅 猎人 结束 枪 警察 点 
公告,通知 状态 新 软木 董事会 地方 公告 纸 发布 
布洛克,公牛 名称 桑德拉 年轻 行为 
恶霸,其他 隐瞒 乐趣 物理 选择 弱 人 
碰碰,舞蹈 移动 接触 一起 人类 研磨 意图 触摸 切 弹跳 正文 对象 自愿 更改 突然 行动 难过 
颠簸,速度 痤疮 丘疹 敲打 路 光滑 岩石 粗糙 甚至 肿块 
平房,生活 屋顶 一个 小 砖 房子 地下室 庇护所 在 级别 
浮标,颜色 马克 信号 海洋 设备 橙色 红色 水 船 游泳 白 浮法 湖 
负担,沉重 问题 原因 称重 负载 
局,办公桌 大 顶部 家具 服饰 卧室 上 起伏 木 抽屉 存储 镜子 写 布 
防盗,休息 抢 犯罪 小偷 偷 
入室盗窃,窃取 采取 休息 抢 犯罪 盗窃 
埋葬,埋葬 地面 葬礼 死 行动 
滑稽,舞蹈 搞笑 娱乐 女人 显示 
烧伤,库克 伤口 情感 红色 恐慌​​ 火焰 破坏 木 拉干燥的 热 危险 对象 自愿 行动 森林 黑色 
烧,烧伤 库克 火 度 食品 酥 红色 疤痕 火焰 伤害 太阳 疼痛 热 黑色 
打bur,功能 饮料 吃 低 气体 自愿 沥青 释放 发出 快速 cotwo 气味 声音 正文意向 空气 行动 消化 感觉 新闻 好 性质 人类 噪声 令人讨厌 驱逐 令人厌恶 喉咙 毛 泡沫 胃 搞笑 动物 粗mbar 正式 粗鲁 大声 流行音乐 
爆炸,打开 火 炸弹 休息 气球 爆炸 向上 危险 噪音 炸 大声 流行音乐 
埋头,污垢 挖 地面 死 隐藏 下 封面 向上 
巴士,金属 票价 座位 地方 长 举行 角度 更改 人群 车辆 歌 大声遥远 移动 人类 采取 很多 学校 窗口 慢 集团 黄色 驱动器 引擎 拉 由 类型 定位 通道 对象 骑 停止 大 汽车 
布什,小 植物 树 分支机构 灌木 
业务,办公桌 西装 公司 计算 作业 领带 员工 自己 学校 办公室 企业 教授 利润 会议 公文包 工作 生成 人 
忙,快速 移动 硬 采取 工作 时间 把戏 着急 敬业度 占用 行动 迅速 
黄油,口味 库克 食品 奶油 面包 牛奶 蔓延 黄色 脂肪 
蝴蝶,微妙 美容 天线 颜色 毛毛虫 小 类型 昆虫 花粉 翼 飞 茧 花卉 君主 漂亮 
按钮,按 衬衫 推 小 举行 系紧 对象 关闭 一轮 布 
购买,费用 获得 钱 业务 贸易 同意 购买 花费 行动 好 东西 永久 自己 私人 布 欲望 食品 获取 对象 
买方,一个 客户 消费 购买 钱 支付 人 
嗡嗡声,八卦 蜜蜂 环 嗡嗡声 声音 飞 噪音 振动 
秃鹰,大 羽毛 食肉兽 肉 脖子 沙漠 死 丑 吃 翼 飞 鸟 喙 清除 黑色 
出租车,快速 费用 出租车 采取 新 地方 车辆 通道 钱 运输 城市 黄色 驱动器 纽约 汽车 人 
白菜,汤 蔬菜 吃 植物 层 兔子 气味 一轮 秋季 树 凉拌卷心菜 紫色卷 紧缩 棕色 地面 苦涩 果皮 射击 愈合 浓 口味 叶 动物 沙拉 修补程序 纹理 成长 离开 绿色 
机舱,小 腾空 木材 地方 日志 舒适 放松 房子 壁炉 湖 避难所 森林 
内阁,货架 由 家具 木材 存储 手 举行 抽屉 房子 菜 厨房 
守车,火车 最后 结束 后方 汽车 
咖啡厅,食品 服务 咖啡 小 饮料 地方 商店 吃 餐厅 午餐 
咖啡因,茶 苏醒 药物 咖啡 饮料 能源 苏打水 
笼子,动物园 电线 限制 由 动物 金属 锁 小 陷阱 犯罪 举行 事 鸟 栏 
蛋糕,蛋糕 甜点 奶油 烤 吃 冰 香草 面粉 特殊 场合 风味 好 烤箱 蜡烛 甜 糖 巧克力 口味 生日 星期三 
计算,数学 图 计算 问题 等式 理解 数量 数字 添加 答案 解决方案 
计算器,数学 计算 问题 功能 设备 机器 数量 添加 
日历,一个月 一周 事件 一天 计划 纸张 一年 跟踪 保持 时间 显示 假日 日期 
小牛,牛 mo 草 动物 食品 小 四 作为 腿 小牛肉 哺乳 牛奶 吃 农场 尾巴 蹄 
调用,两个 沟通 收集 选择 环 长 调用请 举行 尖叫 参加 相反 声音 大喊 电话 行动 喊 动词 人类 噪声 给 鸟 意图 等待 消息 动物 朋友 信号 谈话 重要 联系人 
平静,安静 和平 放松 沉默 议案 
卡路里,食品 称重 能量 饮食 脂肪 
骆驼,两个 吐 沙漠 身高 饮料 水 长 货物 哺乳动物 尾巴 蹄 口渴 雪茄 腿 运输 黄金 棕色 人类 四 慢 驼峰 平均 热 眼 动物 米色 毛皮脖子 非洲 存储 骑 强 大 
相机,捕获 内存 闪光灯 照片 图片 
吊带背心,躯干 袖子 布 服装 衬衫 表带 下 白 女人 材料 舒适 磨损 薄 软 意大利面 
营地,野生 夏季 睡眠 外部 朋友 帐篷 树 地方 消防 木 袋 鱼 棉花糖 户外 徒步旅行 行动 孩子 
露营,生活 库克 睡眠 外部 性质 帐篷 消防 木 袋 户外 营地 行动 
可以,食品 锡 铝 包含 可以 
不能,合同 将 可能 否定 可以 
运河,水 正文 河 船 水路 
金丝雀,唱歌 两个 chi 羽毛 笼 种子 小 宠物 腿 吃 翼 飞 黄色 鸟 喙 
取消,删除 退出 终止 结束 停止 
癌症,肿瘤 杀死 登录 疾病 死 原因 悲伤 正文 蔓延 许多 治疗 生病 化学 单元格 成长 治愈 人 
候选人的人,跑 政治 选举 投票 办公室 工作 
蜡烛,烧伤 源 颜色 火 大小 光 气味 融化 灯芯 热 装饰 形状 开始 浪漫 蜡 
糖果,酸 颜色 好 硬 口味 咀嚼 甜 坏 美味 糖 巧克力 吃 
甘蔗,帮助 木 棒 糖 步行 人 
加农炮,同时 大 金属 车轮 舰船 电源 消防 每桶 马戏团 铁 前 火药 武器 战争 大声 重 黑色 炮弹 
独木舟,浮法 一个 或 木材 桦木 长 玻璃纤维 薄 营 提示 运输 树皮 船 河 印度 人 
罐头,食品 金属 回收 铝 包含 苏打水 
哈密​​瓜,水果 口味 夏季 里面 种子 气候 甜 橙色 良好 瓜 温暖 粗糙 皮肤 成长 吃 一轮 树 果汁 
画布,油漆 由 风帆 白 材料 封面 艺术 征集 布 
峡谷,岩 沟壑 谷 深 河 大 峡谷 
瓶盖,头 帽子 瓶盖 顶 
之一,颜色 棒球 体育 一天 遮阳板 调整 太阳 坏 头 团队 块 磨损 徽标 温暖 头发 布 
容量,限制 完全 保持 最大 面积 数量 
斗篷,流 吸血鬼 蝙蝠侠 返回 之一 斗篷 大衣 长 风 温暖 肩 磨损 敞篷 英雄 结束 布 黑色 超级 
雀跃,跳过 恶作剧 食品 播放 飞跃 
船长,组 命令 军事 等级 铅 团队 船 收费 人 
标题,解释 直接 描述 标题 顶部 纸张 名称 书 单词 页面 纸 报纸 头 图片 写 
俘虏,将 人质 监狱 奴隶 举行 反对 
捕获,捕获 拥有 采取 保持 举行 
汽车,费用 金属 座位 地方 石油 转向 低 塑料 气体 人 沉重 快速 运输污染 小 不同 车辆 树干 运输 运行 形状 移动 颜色 人类 噪声 车轮 四 驱动器 可以 体育 由 大小 竞赛 通道 大 汽车 
大篷车,旅行 一起 车辆 集团 汽车 
碳,窗体 生活 化工 钻石 气体 元素 找到 黑色 
卡,场合 件 信贷 生日 播放 问候语 甲板 纸 发送 特殊 塑料 业务 假日 游戏 写 卡 
问候,介绍 打开 微笑 沟通 收集 信封 亲吻 人 思想 特殊 购买 行动 场合 移动 颜色 人类 词 纸 礼貌 邮件 意图 图片 方法 消息 你好 出售 欢迎 幽默 动物 朋友 生日 标志 请参阅 请 同情 存储 确认 
纸板,棕色 框 纸 材料 厚 
红衣主教,教堂 红色 教皇 天主教 鸟 
护理,专心 爱 关注 担心 保护 
职业生涯,一个 生活 工作 人 
细心,警告 风险 安全 护理 人 
粗心,懒惰 负责任 忘记 护理 笨拙 
爱抚,爱 中风 宠物 触摸 软 温柔 
驯鹿,鹿角 克劳斯 角 eskimo 飞 毛皮 哺乳动物 人 快速 北 旅行 极 草食动物 基督 木材 腿 迁移 狩猎 棕色 野生 雪橇 四 圣诞老人 牧群 拉 鹿 动物 大 
关心,感觉 爱 好 帮助 朋友 母亲 很好 家庭 显示 同情 护理 种类 人 
嘉年华,节日 游戏 乐趣 食品 娱乐 地方 骑 公平 
木匠,木材 房子 工作 生成 人 
地毯,真空 布装饰 圆 地面拍 痒 低 毛绒 材料 舒适 房间 上 院子 里面 脚 泥 广场 小 鞋 温暖 封面 装饰 形状 粗毛 保护 绒毛 铺设 颜色 地板 壁 地面 坐 厚 步行 布 大小 纹理 羊毛 地毯 房子 对象 软 
胡萝卜,花园 用餐 锋利 橙色 营养 蔬菜 长 吃 薄 植物 增长 根 兔子 视力 切 健康 维生素 紧缩 库克 硬 好 一个 原料 果皮 点 顶部 叶 沙拉 食品 结束地面 良好 对象 绿色 
进行,举行 有肩膀 更改 旅行 运输 行动 移动 人类 采取 手臂 重复 步行 过程 捡 工具 返回 定位 对象 举起 举 
